dtp_id,vehicle_no,role,gender,experience,violation,violations_count,health,brand,vehicle_year,vehicle_category
4256,,Пешеход,Мужской,,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,1,Ранен,,,
4373,1,Водитель,Мужской,13.0,Другие нарушения ПДД водителем,1,Не пострадал,KIA,2013,"В-класс (малый) до 3,9 м"
4373,,Пешеход,Мужской,,Нет нарушений,0,Ранен,,,
4465,1,Водитель,Мужской,21.0,Несоблюдение бокового интервала,1,Не пострадал,ВАЗ,1999,"В-класс (малый) до 3,9 м"
4465,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
4711,1,Пассажир,Мужской,,Нет нарушений,0,Не пострадал,SSANGYONG,2010,"С-класс (малый средний, компактный) до 4,3 м"
4711,1,Водитель,Женский,5.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,SSANGYONG,2010,"С-класс (малый средний, компактный) до 4,3 м"
4711,2,Водитель,Мужской,16.0,Нет нарушений,0,Не пострадал,ВАЗ,2011,"В-класс (малый) до 3,9 м"
4711,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,ВАЗ,2011,"В-класс (малый) до 3,9 м"
4997,1,Водитель,Мужской,6.0,Нет нарушений,0,Не пострадал,ВАЗ,2000,"D-класс (средний) до 4,6 м"
4997,,Пешеход,Женский,,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,1,Ранен,,,
5041,1,Водитель,Мужской,14.0,Нет нарушений,0,Не пострадал,NISSAN,2014,"Е-класс (высший средний, бизнес-класс) до 4,9 м"
5041,,Пешеход,Женский,,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,1,Ранен,,,
5139,1,Водитель,Мужской,4.0,Нарушение правил расположения ТС на проезжей части,1,Ранен,DAEWOO,2005,"С-класс (малый средний, компактный) до 4,3 м"
5139,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,DAEWOO,2005,"С-класс (малый средний, компактный) до 4,3 м"
5139,1,Пассажир,Мужской,,Нет нарушений,0,Погиб,DAEWOO,2005,"С-класс (малый средний, компактный) до 4,3 м"
5239,1,Пассажир,Женский,,Нет нарушений,0,Не пострадал,OPEL,1997,"В-класс (малый) до 3,9 м"
5239,1,Водитель,Мужской,1.0,Нарушение правил расположения ТС на проезжей части,1,Не пострадал,OPEL,1997,"В-класс (малый) до 3,9 м"
5239,2,Водитель,Мужской,8.0,Нет нарушений,0,Ранен,OPEL,2007,"В-класс (малый) до 3,9 м"
5316,1,Водитель,Мужской,6.0,Нет нарушений,0,Не пострадал,KIA,2004,"С-класс (малый средний, компактный) до 4,3 м"
5316,2,Водитель,Мужской,19.0,Нарушение правил перестроения,1,Ранен,MAZDA,2006,"D-класс (средний) до 4,6 м"
5448,1,Водитель,Мужской,9.0,Нет нарушений,0,Не пострадал,ВАЗ,2005,"В-класс (малый) до 3,9 м"
5448,,Пешеход,Мужской,,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,1,Ранен,,,
5477,1,Водитель,Мужской,4.0,Нет нарушений,0,Не пострадал,ВАЗ,2012,Минивэны и универсалы повышенной вместимости
5477,,Пешеход,Мужской,,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,1,Ранен,,,
