id,datetime,district,category,severity,light,weather,road_defect,road_defects,participants_count,vehicles_count,dead_count,injured_count,lat,lon
468781,2017-10-14 21:15:00,Почепский район,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,52.891164,33.468991
468928,2017-10-15 05:55:00,Жуковский район,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Дождь,Неудовлетворительное состояние обочин,1,2,2,0,1,0.0,0.0
469052,2017-10-15 14:00:00,Клинцовский район,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,52.7612,32.2765
469252,2017-10-15 18:50:00,Брянская область,Падение пассажира,Легкий,Светлое время суток,Дождь,,0,3,1,0,1,53.2364,34.3558
469275,2017-10-15 19:20:00,Погарский район,Наезд на велосипедиста,Тяжёлый,"В темное время суток, освещение включено",Ясно,,0,2,2,0,1,52.0,33.0
469429,2017-10-16 00:15:00,Брянская область,Наезд на препятствие,Тяжёлый,"В темное время суток, освещение включено",Дождь,Отсутствие дорожных знаков в необходимых местах,3,1,1,0,1,53.3106,34.2725
469681,2017-10-16 15:00:00,Выгоничский район,Столкновение,С погибшими,Светлое время суток,Пасмурно,,0,3,3,1,0,53.4075,33.3225
469802,2017-10-16 18:37:00,Севский район,Столкновение,Тяжёлый,"В темное время суток, освещение отсутствует",Пасмурно,,0,5,2,0,3,52.2269,34.4575
469962,2017-10-16 23:00:00,Клинцовский район,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Ясно,,0,2,1,0,1,32.2408,52.7567
470034,2017-10-17 07:50:00,Навлинский район,Наезд на препятствие,Тяжёлый,Светлое время суток,Пасмурно,,0,1,1,0,1,52.4936,34.3054
470065,2017-10-17 08:35:00,Брянский район,Столкновение,Тяжёлый,Светлое время суток,Ясно,,0,2,2,0,1,53.1913,34.2305
470502,2017-10-18 00:50:00,Суражский район,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение отсутствует",Туман,Отсутствие освещения,1,2,1,0,1,53.1397,32.4436
470560,2017-10-18 08:00:00,Выгоничский район,Столкновение,Легкий,Светлое время суток,Пасмурно,,0,2,2,0,1,53.24,33.4206
470583,2017-10-18 08:55:00,Брянская область,Наезд на стоящее ТС,Легкий,"В темное время суток, освещение включено",Пасмурно,,0,2,2,0,1,53.2647,34.36
470702,2017-10-18 13:50:00,Брянская область,Наезд на пешехода,С погибшими,Светлое время суток,Ясно,Неудовлетворительное состояние обочин,2,2,1,1,0,53.3278,34.3089
471255,2017-10-19 15:15:00,Брянский район,Столкновение,Легкий,Светлое время суток,Пасмурно,,0,3,2,0,1,53.369574,34.302423
471478,2017-10-19 20:40:00,Брянская область,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,"Неправильное применение, плохая видимость дорожных знаков",4,2,1,0,1,53.2794,34.3161
471665,2017-10-20 09:30:00,Брянская область,Столкновение,Тяжёлый,Светлое время суток,Ясно,Отсутствие пешеходных ограждений в необходимых местах,2,3,2,0,2,53.1355,34.2142
471801,2017-10-20 15:15:00,Клинцовский район,Наезд на пешехода,Тяжёлый,Светлое время суток,Ясно,,0,2,1,0,1,52.4706,32.7058
472330,2017-10-21 12:40:00,Брянская область,Наезд на велосипедиста,Тяжёлый,Светлое время суток,Ясно,Отсутствие дорожных знаков в необходимых местах,2,2,2,0,1,53.2144,34.4203
472428,2017-10-21 16:15:00,Брянская область,Наезд на пешехода,Легкий,Светлое время суток,Ясно,Отсутствие дорожных знаков в необходимых местах,2,2,1,0,1,53.2303,34.3219
472610,2017-10-21 20:35:00,Новозыбковский район,Наезд на пешехода,Легкий,"В темное время суток, освещение включено",Дождь,,0,2,1,0,1,52.53385,31.931506
472830,2017-10-22 11:10:00,Брянская область,Столкновение,Тяжёлый,Светлое время суток,Ясно,Отсутствие тротуаров (пешеходных дорожек),2,3,2,0,1,53.2797,34.3289
